user_id,course_id,course_number,course_name,role_id,report_uri,percentage,status,message,api_response
17491,26178,191133B,Dynamic Discounting Platform for Corporates,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/17491/report_17491_191133B_Dynamic_Discounting_Platform_for_Corporates.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
2364,26178,191133B,Dynamic Discounting Platform for Corporates,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/2364/report_2364_191133B_Dynamic_Discounting_Platform_for_Corporates.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
17155,26178,191133B,Dynamic Discounting Platform for Corporates,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/17155/report_17155_191133B_Dynamic_Discounting_Platform_for_Corporates.json,78.3,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
13270,26178,191133B,Dynamic Discounting Platform for Corporates,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/13270/report_13270_191133B_Dynamic_Discounting_Platform_for_Corporates.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
14289,26178,191133B,Dynamic Discounting Platform for Corporates,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/14289/report_14289_191133B_Dynamic_Discounting_Platform_for_Corporates.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
14084,26178,191133B,Dynamic Discounting Platform for Corporates,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/14084/report_14084_191133B_Dynamic_Discounting_Platform_for_Corporates.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
12344,26178,191133B,Dynamic Discounting Platform for Corporates,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/12344/report_12344_191133B_Dynamic_Discounting_Platform_for_Corporates.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
11935,26178,191133B,Dynamic Discounting Platform for Corporates,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/11935/report_11935_191133B_Dynamic_Discounting_Platform_for_Corporates.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
127780,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/127780/report_127780_191133A_Import_Payment_Hedging_for_Small_Businesses.json,,skipped,Report JSON empty or inaccessible for all tried URIs: ['https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/127780/report_127780_191133A_Import_Payment_Hedging_for_Small_Businesses.json'],{}
127834,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/127834/report_127834_191133A_Import_Payment_Hedging_for_Small_Businesses.json,,skipped,Report JSON empty or inaccessible for all tried URIs: ['https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/127834/report_127834_191133A_Import_Payment_Hedging_for_Small_Businesses.json'],{}
128006,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/128006/report_128006_191133A_Import_Payment_Hedging_for_Small_Businesses.json,,skipped,Report JSON empty or inaccessible for all tried URIs: ['https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/128006/report_128006_191133A_Import_Payment_Hedging_for_Small_Businesses.json'],{}
129883,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/129883/report_129883_191133A_Import_Payment_Hedging_for_Small_Businesses.json,,skipped,Report JSON empty or inaccessible for all tried URIs: ['https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/129883/report_129883_191133A_Import_Payment_Hedging_for_Small_Businesses.json'],{}
103390,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/103390/report_103390_191133A_Import_Payment_Hedging_for_Small_Businesses.json,,skipped,Report JSON empty or inaccessible for all tried URIs: ['https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/103390/report_103390_191133A_Import_Payment_Hedging_for_Small_Businesses.json'],{}
110347,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/110347/report_110347_191133A_Import_Payment_Hedging_for_Small_Businesses.json,,skipped,Report JSON empty or inaccessible for all tried URIs: ['https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/110347/report_110347_191133A_Import_Payment_Hedging_for_Small_Businesses.json'],{}
122951,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/122951/report_122951_191133A_Import_Payment_Hedging_for_Small_Businesses.json,,skipped,Report JSON empty or inaccessible for all tried URIs: ['https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/122951/report_122951_191133A_Import_Payment_Hedging_for_Small_Businesses.json'],{}
121237,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/121237/report_121237_191133A_Import_Payment_Hedging_for_Small_Businesses.json,,skipped,Report JSON empty or inaccessible for all tried URIs: ['https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/121237/report_121237_191133A_Import_Payment_Hedging_for_Small_Businesses.json'],{}
112897,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/112897/report_112897_191133A_Import_Payment_Hedging_for_Small_Businesses.json,,skipped,Report JSON empty or inaccessible for all tried URIs: ['https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/112897/report_112897_191133A_Import_Payment_Hedging_for_Small_Businesses.json'],{}
76143,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/76143/report_76143_191133A_Import_Payment_Hedging_for_Small_Businesses.json,,skipped,Report JSON empty or inaccessible for all tried URIs: ['https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/76143/report_76143_191133A_Import_Payment_Hedging_for_Small_Businesses.json'],{}
105376,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/105376/report_105376_191133A_Import_Payment_Hedging_for_Small_Businesses.json,,skipped,Report JSON empty or inaccessible for all tried URIs: ['https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/105376/report_105376_191133A_Import_Payment_Hedging_for_Small_Businesses.json'],{}
9321,26178,191133B,Dynamic Discounting Platform for Corporates,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/9321/report_9321_191133B_Dynamic_Discounting_Platform_for_Corporates.json,84.5,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
3350,26178,191133B,Dynamic Discounting Platform for Corporates,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/3350/report_3350_191133B_Dynamic_Discounting_Platform_for_Corporates.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
94087,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/94087/report_94087_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
74852,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/74852/report_74852_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
96935,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/96935/report_96935_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
93075,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/93075/report_93075_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
75941,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/75941/report_75941_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
74609,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/74609/report_74609_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
75784,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/75784/report_75784_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
75801,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/75801/report_75801_191133A_Import_Payment_Hedging_for_Small_Businesses.json,72.3,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
72900,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/72900/report_72900_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
44981,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/44981/report_44981_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
72794,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/72794/report_72794_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
4331,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/4331/report_4331_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
72807,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/72807/report_72807_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
68175,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/68175/report_68175_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
56104,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/56104/report_56104_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
55984,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/55984/report_55984_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
56426,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/56426/report_56426_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
44488,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/44488/report_44488_191133A_Import_Payment_Hedging_for_Small_Businesses.json,84.5,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
47755,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/47755/report_47755_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
48588,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/48588/report_48588_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
42931,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/42931/report_42931_191133A_Import_Payment_Hedging_for_Small_Businesses.json,84.5,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
47531,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/47531/report_47531_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
47470,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/47470/report_47470_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
45965,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/45965/report_45965_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
46109,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/46109/report_46109_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
42245,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/42245/report_42245_191133A_Import_Payment_Hedging_for_Small_Businesses.json,82.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
44281,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/44281/report_44281_191133A_Import_Payment_Hedging_for_Small_Businesses.json,78.3,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
42330,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/42330/report_42330_191133A_Import_Payment_Hedging_for_Small_Businesses.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
35484,26176,191133A,Import Payment Hedging for Small Businesses,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/35484/report_35484_191133A_Import_Payment_Hedging_for_Small_Businesses.json,84.5,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
